ticker,name,sector,year_filed,filing_date,sample_source,bankruptcy_filing,bankrupt,total_assets,total_liabilities,current_assets,current_liabilities,retained_earnings,revenue,net_income,ebit,interest_expense,stockholders_equity,long_term_debt,source_filing_end,source_filing_filed,source_filing_form,debt_to_equity,current_ratio,return_on_assets,interest_coverage,net_margin,market_cap,price,beta,pe_ratio,week52_high,week52_low,analyst_rating,shares_outstanding,company_size
MSFT,Microsoft Corp,Technology,,,manual,0,0,619003000000.0,275524000000.0,191131000000.0,141218000000.0,237731000000.0,62484000000.0,101832000000.0,128528000000.0,2935000000.0,343479000000.0,43151000000.0,2025-06-30,2025-07-30,10-K,0.8021567548525529,1.3534464445042416,0.16450970350709124,43.791482112436114,1.6297292106779335,3180593152000.0,427.9375,1.107,26.796337,555.45,356.28,strong_buy,7425629076.0,Large
GOOGL,Alphabet Inc,Technology,,,manual,0,0,595281000000.0,180016000000.0,206038000000.0,102745000000.0,324055000000.0,402836000000.0,132170000000.0,129039000000.0,308000000.0,415265000000.0,49085000000.0,2025-12-31,2026-02-05,10-K,0.4334966828410774,2.005333592875566,0.22202959610671263,418.9577922077922,0.3280987796522654,4237008568320.0,350.24,1.128,32.339798,353.18,147.84,strong_buy,5823665113.0,Large
AMZN,Amazon.com,Consumer Discretionary,,,manual,0,0,818042000000.0,,229083000000.0,218005000000.0,250536000000.0,,77670000000.0,79975000000.0,3182000000.0,411065000000.0,68836000000.0,2025-12-31,2026-02-06,10-K,,1.0508153482718285,0.09494622525493801,25.133563796354494,,2792449114112.0,259.655,1.383,36.16435,264.5,178.85,strong_buy,10754251799.0,Large
JPM,JPMorgan Chase,Financials,,,manual,0,0,4424900000000.0,4062462000000.0,,,416055000000.0,182447000000.0,57048000000.0,,81321000000.0,362438000000.0,267889000000.0,2025-12-31,2026-02-13,10-K,11.208708799849905,,0.01289249474564397,,0.31268258727192005,834476703744.0,311.43,1.043,14.91523,337.25,238.43,buy,2679500000.0,Large
JNJ,Johnson & Johnson,Healthcare,,,manual,0,0,199210000000.0,117666000000.0,55624000000.0,54126000000.0,168978000000.0,,26804000000.0,21590000000.0,772000000.0,,41438000000.0,2025-12-28,2026-02-11,10-K,,1.027676163027011,0.13455147833944078,27.966321243523318,,547377053696.0,227.39,0.329,26.348783,251.71,146.12,buy,2407216971.0,Large
XOM,ExxonMobil,Energy,,,manual,0,0,448980000000.0,182354000000.0,83382000000.0,72330000000.0,482494000000.0,332238000000.0,28844000000.0,,603000000.0,259386000000.0,,2025-12-31,2026-02-18,10-K,0.703021751366689,1.1527996681874741,0.06424339614236714,,0.08681728158729586,625354801152.0,150.4501,0.288,22.45524,176.41,101.19,buy,4156559415.0,Large
WMT,Walmart,Consumer Staples,,,manual,0,0,284668000000.0,,84874000000.0,107469000000.0,104774000000.0,713163000000.0,21893000000.0,29825000000.0,,99617000000.0,38166000000.0,2026-01-31,2026-03-13,10-K,,0.7897533242144247,0.07690713392443127,,0.03069845182658102,1013949857792.0,127.205,0.661,46.595238,134.69,91.89,strong_buy,7970990515.0,Large
VZ,Verizon Communications,Telecom,,,manual,0,0,404258000000.0,,56922000000.0,62370000000.0,94744000000.0,138191000000.0,17174000000.0,29259000000.0,5524000000.0,,93144000000.0,2025-12-31,2026-02-17,10-K,,0.9126503126503126,0.042482770903729795,5.29670528602462,0.12427726841834852,196626956288.0,47.0805,0.27,11.484146,51.68,38.39,buy,4176000000.0,Large
GE,General Electric,Industrials,,,manual,0,0,500216000000.0,409818000000.0,,,55077000000.0,42725000000.0,7234000000.0,8118000000.0,8397000000.0,87499000000.0,,2014-12-31,2015-02-27,10-K,4.683687813575013,,0.014461752522910104,0.9667738478027867,0.16931538911644237,299510857728.0,286.66,1.428,35.609936,348.48,196.86,strong_buy,1043337235.0,Large
BA,Boeing Co,Industrials,,,manual,0,0,168235000000.0,162778000000.0,128459000000.0,108115000000.0,17252000000.0,89463000000.0,2235000000.0,4281000000.0,,5454000000.0,53848000000.0,2025-12-31,2026-01-30,10-K,29.845617895122846,1.1881700041622347,0.013284988260468986,,0.024982394956574228,181376548864.0,230.085,1.128,91.30357,254.35,176.77,buy,788302331.0,Large
DAL,Delta Air Lines (new),Industrials,,,manual,0,0,81317000000.0,,10968000000.0,27624000000.0,13343000000.0,10742000000.0,5005000000.0,5822000000.0,396000000.0,20853000000.0,13308000000.0,2025-12-31,2026-02-11,10-K,,0.3970460469157255,0.06154924554521195,14.702020202020202,0.46592813256376836,44333981696.0,67.48,1.306,9.851095,76.39,39.94,strong_buy,656994340.0,Large
T,AT&T,Telecom,,,manual,0,0,420198000000.0,279032000000.0,48732000000.0,53780000000.0,15768000000.0,125648000000.0,21953000000.0,24162000000.0,6704000000.0,,134718000000.0,2025-12-31,2026-02-09,10-K,,0.9061361100780959,0.05224441810765401,3.6041169451073984,0.17471826053737424,181710340096.0,26.025,0.539,8.560855,29.79,22.95,buy,6965000000.0,Large
CVS,CVS Health,Consumer Staples,,,manual,0,0,253538000000.0,178156000000.0,74714000000.0,88692000000.0,61196000000.0,402067000000.0,1768000000.0,4660000000.0,2658000000.0,75214000000.0,73429000000.0,2025-12-31,2026-02-10,10-K,2.368654771718031,0.8423984124836513,0.006973313665012739,1.7531978931527463,0.004397277070736966,103540817920.0,80.79,0.505,58.122303,85.15,58.35,strong_buy,1281604403.0,Large
MRK,Merck & Co,Healthcare,,,manual,0,0,136866000000.0,,43516000000.0,28327000000.0,73075000000.0,65011000000.0,18254000000.0,,1146000000.0,52606000000.0,,2025-12-31,2026-02-24,10-K,,1.5362022099057437,0.13337132669910715,,0.2807832520650351,272032497664.0,110.14,0.275,15.129121,125.14,73.31,buy,2469879206.0,Large
CHTR,Charter Communications,Communication Services,,,s&p500_auto_control,0,0,154213000000.0,,5144000000.0,13306000000.0,-5393000000.0,54774000000.0,4987000000.0,12908000000.0,846000000.0,16054000000.0,94756000000.0,2025-12-31,2026-01-30,10-K,,0.38659251465504285,0.03233838911116443,15.257683215130024,0.09104684704421806,24436563968.0,173.09,1.026,4.683171,437.06,170.77,hold,141178369.0,Large
